#p0	p1	p2	p3	p4	binq2	binnu	binz
0	0	0	0	0	0	0	0
-11506	52912.4	-58536	0	0	0	0	1
-2376.46	12620.4	-13539.4	0	0	0	0	2
351.237	1913.46	-2716.07	0	0	0	0	3
-104.893	3322.48	-3524.46	0	0	0	0	4
0	0	0	0	0	1	0	0
-4093.37	19859.8	-22314.1	0	0	1	0	1
-208.051	3065.7	-3821.68	0	0	1	0	2
-253.125	2983.77	-3241.84	0	0	1	0	3
-545.483	3881.98	-3813.52	0	0	1	0	4
-73847.2	326178	-359530	0	0	2	0	0
-2271.13	11096.5	-11979.8	0	0	2	0	1
352.959	528.125	-1079.27	0	0	2	0	2
-614.431	3936.56	-3892.95	0	0	2	0	3
-274.171	2478.62	-2304.64	0	0	2	0	4
