#p0	p1	p2	p3	p4	binpt2	binnu	binz
0	0	0	0	0	0	0	0
-38046.4	166746	-181675	0	0	0	0	1
-2308.68	9801.16	-9798.37	0	0	0	0	2
290.67	-807.996	861.584	0	0	0	0	3
422.381	-1355.22	1421.04	0	0	0	0	4
0	0	0	0	0	1	0	0
-31048.7	137493	-150390	0	0	1	0	1
-6551.02	26997.1	-26289	0	0	1	0	2
-1645.11	7260.95	-6524.86	0	0	1	0	3
-910.951	4775.36	-4133.65	0	0	1	0	4
0	0	0	0	0	2	0	0
-32832.3	142882	-153739	0	0	2	0	1
-4708.32	21074.6	-21487.1	0	0	2	0	2
-807.652	5640.59	-5901.93	0	0	2	0	3
-1489.31	8742.4	-8534.94	0	0	2	0	4
0	0	0	0	0	3	0	0
-7052.41	33397.4	-37701.2	0	0	3	0	1
-3439.17	16741.1	-17744.5	0	0	3	0	2
89.1938	3232.4	-4252.76	0	0	3	0	3
264.929	3436.62	-4354.34	0	0	3	0	4
0	0	0	0	0	4	0	0
-14769.8	66385.4	-72485.5	0	0	4	0	1
-4130.78	20557.7	-21922	0	0	4	0	2
423.611	3401.01	-4974.1	0	0	4	0	3
-578.75	7303.49	-8163.24	0	0	4	0	4
-36339.5	161474	-179094	0	0	5	0	0
-5419	24371.5	-26277.6	0	0	5	0	1
-365.93	4259.03	-5462.65	0	0	5	0	2
712.145	205.748	-1198	0	0	5	0	3
269.131	1218.41	-1710.16	0	0	5	0	4
