#p0	p1	p2	p3	p4	binq2	binnu	binz
-12903	56863.6	-62512.1	0	0	0	0	0
-232.973	1300.14	-1497.67	0	0	0	0	1
23.8411	76.9013	-126.907	0	0	0	0	2
116.415	-319.434	260.129	0	0	0	0	3
109.758	-354.74	323.024	0	0	0	0	4
-19157.9	85181.7	-94424.5	0	0	1	0	0
-244.091	1481.49	-1761.74	0	0	1	0	1
186.261	-442.355	305.171	0	0	1	0	2
197.055	-579.95	487.266	0	0	1	0	3
-108.14	484.535	-461.706	0	0	1	0	4
-7100.64	32139.7	-35991.4	0	0	2	0	0
0.0962677	544.144	-835.296	0	0	2	0	1
-67.1075	466.148	-480.595	0	0	2	0	2
19.6502	50.1811	-59.7917	0	0	2	0	3
147.815	-430.299	352.166	0	0	2	0	4
