#p0	p1	p2	p3	p4	binpt2	binnu	binz
-7310.19	34921	-41287	0	0	0	0	0
-231.238	1311.98	-1545.74	0	0	0	0	1
156.734	-402.166	270.258	0	0	0	0	2
-64.582	311.029	-307.574	0	0	0	0	3
141.439	-476.529	416.598	0	0	0	0	4
-7310.45	33307.2	-37651.9	0	0	1	0	0
-118.637	883.897	-1126.27	0	0	1	0	1
135.953	-318.827	197.486	0	0	1	0	2
76.8077	-200.964	151.128	0	0	1	0	3
47.6939	-142.6	127.161	0	0	1	0	4
-3463.27	15152.7	-16457.2	0	0	2	0	0
-25.3202	312.406	-428.466	0	0	2	0	1
-21.5655	213.121	-259.731	0	0	2	0	2
-39.6334	191.043	-184.059	0	0	2	0	3
0.290353	22.9641	-18.3579	0	0	2	0	4
-203.702	1038.65	-1240.94	0	0	3	0	0
59.2403	-117.862	51.734	0	0	3	0	1
41.486	-71.7903	34.0572	0	0	3	0	2
77.2896	-232.863	198.747	0	0	3	0	3
-31.6558	128.456	-104.982	0	0	3	0	4
-438.255	1825.59	-1876.02	0	0	4	0	0
-34.614	203.762	-224.27	0	0	4	0	1
-67.883	322.54	-320.208	0	0	4	0	2
-16.7166	108.723	-111.619	0	0	4	0	3
-71.929	286.229	-256.903	0	0	4	0	4
81.1414	-307.868	299.969	0	0	5	0	0
4.98169	5.44332	-12.8689	0	0	5	0	1
73.8089	-226.043	185.976	0	0	5	0	2
34.5448	-109.787	101.141	0	0	5	0	3
3.57815	4.41619	-7.91474	0	0	5	0	4
