#Ell	Ehl	cf	cf_err 
0.35	0.367	1.32056	0.00244855
0.367	0.384	1.26939	0.00279647
0.384	0.401	1.20363	0.00286768
0.401	0.418	1.15427	0.00270997
0.418	0.435	1.11501	0.00229505
0.435	0.452	1.08679	0.00182638
0.452	0.469	1.0638	0.00174378
0.469	0.486	1.04963	0.00153519
0.486	0.503	1.03793	0.00136033
0.503	0.52	1.03265	0.00113231
0.52	0.537	1.02806	0.0013584
0.537	0.554	1.02244	0.00136062
0.554	0.571	1.01752	0.00144798
0.571	0.588	1.01702	0.00123769
0.588	0.605	1.01134	0.000646904
0.605	0.622	1.00897	0.00142179
0.622	0.639	1.00651	0.00149615
0.639	0.656	1.00472	0.0011764
0.656	0.673	1.00371	0.00129338
0.673	0.69	1.00059	0.00158255
0.69	0.707	0.995285	0.000976121
0.707	0.724	0.994456	0.00127447
0.724	0.741	0.992054	0.00177966
0.741	0.758	0.988653	0.00212861
0.758	0.775	0.987518	0.00174426
0.775	0.792	0.983863	0.001673
0.792	0.809	0.978799	0.00229736
0.809	0.826	0.97901	0.00197755
0.826	0.843	0.968609	0.00185231
0.843	0.86	0.970064	0.00186241
0.86	0.877	0.970442	0.0028296
0.877	0.894	0.96315	0.00226031
0.894	0.911	0.957119	0.00328779
0.911	0.928	0.958336	0.00259091
0.928	0.945	0.94528	0.00429665
0.945	0.962	0.945395	0.00405178
0.962	0.979	0.947321	0.00528975
0.979	0.996	0.94295	0.00223349
0.996	1.013	0.926191	0.00521905
1.013	1.03	0.928595	0.00646288
1.03	1.047	0.903343	0.00564653
1.047	1.064	0.910407	0.0043013
1.064	1.081	0.8921	0.00459116
1.081	1.098	0.885487	0.00826337
1.098	1.115	0.88559	0.00527058
1.115	1.132	0.873841	0.00799345
1.132	1.149	0.844102	0.0133384
1.149	1.166	0.8602	0.0147755
1.166	1.183	0.834425	0.0081025
1.183	1.2	0.79542	0.0131107
