#p0	p1	p2	p3	p4	binq2	binnu	binz
-246.73	10539.4	-31351.5	0	0	0	0	0
-107.957	5176.27	-14008.4	0	0	0	0	1
9.35268	1936.36	-3515.9	0	0	0	0	2
17.0618	936.297	-501.24	0	0	0	0	3
-24.67	1324.29	-2690.92	0	0	0	0	4
-8.03872	4409.6	-11687.3	0	0	1	0	0
13.0298	1964.73	-4069.94	0	0	1	0	1
-66.5665	2232.1	-5853.8	0	0	1	0	2
8.19281	666.591	-812.843	0	0	1	0	3
-106.921	2117.66	-6287.83	0	0	1	0	4
-6.50974	3447.31	-8681.59	0	0	2	0	0
-29.4272	2115.18	-4972.23	0	0	2	0	1
-5.37296	1006.24	-1908.05	0	0	2	0	2
-29.2504	1018.55	-2492.01	0	0	2	0	3
-82.1918	1604.86	-4778.65	0	0	2	0	4
