#p0	p1	p2	p3	p4	binpt2	binnu	binz
-1116.34	45796.7	-156683	0	0	0	0	0
-562.867	20309.9	-64352.9	0	0	0	0	1
-227.985	8781	-25572	0	0	0	0	2
-96.5731	4363.11	-12548.6	0	0	0	0	3
-185.243	4477.04	-14174.6	0	0	0	0	4
-338.469	19572.7	-59078.7	0	0	1	0	0
-112.911	8903.08	-23569.6	0	0	1	0	1
-106.665	5424.06	-14147.7	0	0	1	0	2
-132.59	4143.5	-11264.4	0	0	1	0	3
-62.5105	2233.85	-5226.02	0	0	1	0	4
-65.9774	6681.93	-19799.2	0	0	2	0	0
-78.3331	4614.62	-12991.3	0	0	2	0	1
53.5945	1003.37	-327.535	0	0	2	0	2
-8.72151	1320.59	-2363.27	0	0	2	0	3
-37.8071	1379.61	-3033.01	0	0	2	0	4
-28.156	3740	-11170.6	0	0	3	0	0
-73.2314	3100.64	-8512.87	0	0	3	0	1
-9.35596	1355.96	-2812.49	0	0	3	0	2
-2.04545	983.537	-2209.19	0	0	3	0	3
-59.0466	1711.07	-4648.65	0	0	3	0	4
-82.7348	3835.57	-12142.7	0	0	4	0	0
-63.347	3126.83	-8963.1	0	0	4	0	1
36.4168	865.996	-885.951	0	0	4	0	2
-50.2432	1928.81	-5013.46	0	0	4	0	3
-89.7256	2310.86	-6236.32	0	0	4	0	4
28.7476	402.128	-820.224	0	0	5	0	0
19.2276	732.247	-1491.49	0	0	5	0	1
-18.7387	1100.63	-2578.18	0	0	5	0	2
-25.8925	1140.04	-3094.76	0	0	5	0	3
-0.852278	365.911	33.7954	0	0	5	0	4
