#p0	p1	p2	p3	p4	binq2	binnu	binz
-330.441	15984.4	-43315.1	0	0	0	0	0
-142.919	7014.51	-17837.8	0	0	0	0	1
-82.257	4030.34	-10137.5	0	0	0	0	2
-240.206	5046.32	-14892.1	0	0	0	0	3
-126.978	2521.09	-6646.1	0	0	0	0	4
-179.942	9734.09	-26421.3	0	0	1	0	0
-41.5773	3578.87	-7924.66	0	0	1	0	1
19.5573	1210.99	-1398.97	0	0	1	0	2
-136.396	2963.18	-8948.97	0	0	1	0	3
-101.876	1891.09	-5135.47	0	0	1	0	4
-96.9546	7430.77	-18797.5	0	0	2	0	0
-58.9092	3266.62	-7276.79	0	0	2	0	1
-5.39036	1342.8	-2610.48	0	0	2	0	2
-112.989	2367.3	-6935.22	0	0	2	0	3
-95.9885	1843.06	-5672.69	0	0	2	0	4
