#p0	p1	p2	p3	p4	binpt2	binnu	binz
-1474.1	69402	-227329	0	0	0	0	0
-631.736	26362.9	-82677.6	0	0	0	0	1
-232.638	10955	-32187.1	0	0	0	0	2
-535.553	11545.6	-36013.6	0	0	0	0	3
-439.484	8114.14	-25251.5	0	0	0	0	4
-606.086	28336.8	-80111.3	0	0	1	0	0
-264.861	12431.3	-33421.3	0	0	1	0	1
-191.569	7308.36	-19317	0	0	1	0	2
-356.048	7696.25	-22517.5	0	0	1	0	3
-307.994	5643.26	-16471	0	0	1	0	4
-209.213	10155.7	-27530.3	0	0	2	0	0
-65.4946	4686.68	-10783.7	0	0	2	0	1
-100.251	3646.52	-8502.83	0	0	2	0	2
-99.2837	2579.59	-6080.1	0	0	2	0	3
-140.513	2704.31	-7759.34	0	0	2	0	4
-190.33	6587.48	-18066.8	0	0	3	0	0
-46.9948	2935.11	-6637.5	0	0	3	0	1
-64.1965	2396.69	-5703.33	0	0	3	0	2
-140.372	2820.67	-8139.97	0	0	3	0	3
-100.828	1862.15	-5397	0	0	3	0	4
-135.439	5548.18	-14427.6	0	0	4	0	0
-89.0092	3638.88	-9021.65	0	0	4	0	1
-18.3047	1815.8	-4418.19	0	0	4	0	2
-86.4628	2004.94	-5634.33	0	0	4	0	3
-57.4535	1131.37	-2957.38	0	0	4	0	4
-8.27636	2017.29	-4752.65	0	0	5	0	0
-63.0332	2212.03	-5919.91	0	0	5	0	1
-24.4889	1134.4	-2865.36	0	0	5	0	2
-28.3643	711.422	-1525.21	0	0	5	0	3
-46.6957	816.231	-2526.07	0	0	5	0	4
