#p0	p1	p2	p3	p4	binq2	binnu	binz
13.155	-14.6318	498.261	0	0	0	0	0
11.6102	-60.4071	301.053	0	0	0	0	1
-0.136327	73.6751	-265.064	0	0	0	0	2
3.7764	-32.6628	195.062	0	0	0	0	3
3.48861	-34.5738	195.057	0	0	0	0	4
-16.5459	532.318	-1555.4	0	0	1	0	0
-10.3577	249.586	-601.628	0	0	1	0	1
-13.0643	256.268	-770.311	0	0	1	0	2
13.0748	-144.642	556.788	0	0	1	0	3
7.47674	-77.3369	316.218	0	0	1	0	4
-20.8847	573.636	-1430.47	0	0	2	0	0
19.3866	-206.306	1100.21	0	0	2	0	1
-6.60099	173.699	-553.186	0	0	2	0	2
1.89989	12.6041	44.1517	0	0	2	0	3
7.25714	-78.8969	333.593	0	0	2	0	4
