#p0	p1	p2	p3	p4	binpt2	binnu	binz
44.0335	-337.772	2057.98	0	0	0	0	0
5.29613	-44.5148	618.595	0	0	0	0	1
2.48812	22.878	-46.5193	0	0	0	0	2
3.59066	-15.5914	66.4658	0	0	0	0	3
-0.325925	38.4969	-130.239	0	0	0	0	4
13.4994	48.7563	209.558	0	0	1	0	0
-10.7999	265.317	-796.55	0	0	1	0	1
3.61145	-12.9454	124.274	0	0	1	0	2
-3.25214	90.5743	-299.042	0	0	1	0	3
-0.0713358	34.7753	-119.836	0	0	1	0	4
-2.89877	145.913	-517.732	0	0	2	0	0
-5.77373	132.415	-382.167	0	0	2	0	1
3.92327	-16.2483	85.2845	0	0	2	0	2
5.61417	-54.1778	227.592	0	0	2	0	3
3.48345	-15.2345	46.7727	0	0	2	0	4
-4.06092	119.615	-407.1	0	0	3	0	0
10.3779	-135.041	604.45	0	0	3	0	1
6.82618	-76.3324	346.599	0	0	3	0	2
4.82019	-42.7818	186.564	0	0	3	0	3
3.21027	-16.5811	79.8194	0	0	3	0	4
7.62947	-55.148	145.295	0	0	4	0	0
1.44781	13.7689	-9.51436	0	0	4	0	1
-0.389171	40.4919	-117.8	0	0	4	0	2
5.82191	-48.04	162.613	0	0	4	0	3
3.8424	-28.8146	120.09	0	0	4	0	4
2	-6.6218e-12	2.35101e-11	0	0	5	0	0
0.462944	28.5387	-95.4548	0	0	5	0	1
-1.00946	50.3008	-181.19	0	0	5	0	2
1.03776	15.1356	-49.0934	0	0	5	0	3
3.50713	-24.363	94.0753	0	0	5	0	4
