#p0	p1	p2	p3	p4	binq2	binnu	binz
-8.87695	253.541	-624.243	0	0	0	0	0
0.840484	36.2499	-60.8633	0	0	0	0	1
0.405346	44.4498	-170.427	0	0	0	0	2
1.89188	0.812061	14.842	0	0	0	0	3
4.19491	-29.928	102.654	0	0	0	0	4
22.9488	-232.197	1287.43	0	0	1	0	0
-13.5446	287.962	-971.473	0	0	1	0	1
3.27891	-13.3663	116.825	0	0	1	0	2
-0.978619	56.7744	-196.904	0	0	1	0	3
4.83179	-44.3977	174.506	0	0	1	0	4
-6.04733	236.72	-377.243	0	0	2	0	0
-5.54652	147.027	-339.581	0	0	2	0	1
1.70993	12.0972	-8.09068	0	0	2	0	2
1.89444	1.13223	41.2908	0	0	2	0	3
3.45285	-18.1072	68.7107	0	0	2	0	4
