#p0	p1	p2	p3	p4	binpt2	binnu	binz
-3.24511	307.909	-898.071	0	0	0	0	0
-8.08614	184.768	-647.202	0	0	0	0	1
5.91406	-55.6423	216.443	0	0	0	0	2
0.247227	28.4477	-95.922	0	0	0	0	3
4.56931	-44.1627	200.663	0	0	0	0	4
11.5991	26.7023	145.767	0	0	1	0	0
8.25167	-63.1057	259.52	0	0	1	0	1
0.892366	28.8089	-109.015	0	0	1	0	2
4.43448	-36.5331	148.151	0	0	1	0	3
1.01245	12.8961	-34.0621	0	0	1	0	4
-14.3974	308.092	-974.745	0	0	2	0	0
3.75737	7.71033	-30.3896	0	0	2	0	1
-2.39317	67.2202	-213.302	0	0	2	0	2
5.36463	-38.4382	122.925	0	0	2	0	3
2	0	0	0	0	2	0	4
9.72184	-85.7684	337.28	0	0	3	0	0
0.3927	41.609	-149.204	0	0	3	0	1
0.748883	19.5628	-46.3126	0	0	3	0	2
-0.744027	52.1217	-202.182	0	0	3	0	3
0.596689	17.036	-42.2211	0	0	3	0	4
0.881449	34.9512	-131.14	0	0	4	0	0
1.66764	5.72114	38.4004	0	0	4	0	1
3.62404	-10.4364	20.2163	0	0	4	0	2
4.14368	-26.3912	93.8926	0	0	4	0	3
5.09491	-49.1755	190.668	0	0	4	0	4
3.59694	-5.65035	-14.3514	0	0	5	0	0
6.15585	-61.0145	241.347	0	0	5	0	1
2.24411	0.552427	1.73788	0	0	5	0	2
-1.53025	59.4338	-210.828	0	0	5	0	3
2	0	0	0	0	5	0	4
