#p0	p1	p2	p3	p4	binpt2	binnu	binz
24.6886	-131.435	1101.05	0	0	0	0	0
-11.7742	284.139	-1004.05	0	0	0	0	1
0.896306	20.9421	-52.8942	0	0	0	0	2
-2.47731	76.7412	-288.859	0	0	0	0	3
4.63012	-41.5665	168.238	0	0	0	0	4
-3.29275	286.597	-599.906	0	0	1	0	0
-7.34923	163.697	-404.034	0	0	1	0	1
1.30789	22.342	-44.935	0	0	1	0	2
5.4198	-46.2742	162.081	0	0	1	0	3
0.784249	20.8273	-72.4768	0	0	1	0	4
-4.28895	150.453	-421.91	0	0	2	0	0
0.0734579	54.3344	-166.259	0	0	2	0	1
-2.62551	85.5703	-317.033	0	0	2	0	2
2.66731	-14.462	83.166	0	0	2	0	3
2.3711	-0.444434	-9.47878	0	0	2	0	4
1.8236	29.2143	-114.827	0	0	3	0	0
5.81859	-46.1875	188.765	0	0	3	0	1
1.26125	11.1316	-9.12161	0	0	3	0	2
7.6129	-87.8582	341.654	0	0	3	0	3
1.83301	4.34927	-16.208	0	0	3	0	4
8.83519	-88.267	316.868	0	0	4	0	0
-0.509437	49.1921	-166.396	0	0	4	0	1
-0.436167	43.6284	-138.919	0	0	4	0	2
0.675511	23.5864	-87.0569	0	0	4	0	3
2.1735	-2.80765	15.9005	0	0	4	0	4
0.954344	18.8527	-74.2905	0	0	5	0	0
3.37554	-10.3168	30.1956	0	0	5	0	1
0.901046	20.8938	-72.7993	0	0	5	0	2
1.38982	29.8612	-148.675	0	0	5	0	3
2	-3.65766e-12	1.28494e-11	0	0	5	0	4
