#p0	p1	p2	p3	p4	binq2	binnu	binz
-13.7646	354.673	-908.74	0	0	0	0	0
4.10881	-17.1471	198.821	0	0	0	0	1
2.13399	-1.40778	85.4771	0	0	0	0	2
2.26863	-0.746684	32.8638	0	0	0	0	3
4.82175	-46.744	205.592	0	0	0	0	4
-34.2922	665.023	-1860.22	0	0	1	0	0
5.27374	-17.0443	239.309	0	0	1	0	1
2.41538	26.1795	-107.831	0	0	1	0	2
2.80269	-0.436849	-2.92297	0	0	1	0	3
2.82504	-11.2287	65.5779	0	0	1	0	4
-24.1552	565.596	-1522.45	0	0	2	0	0
1.9744	28.9431	99.2548	0	0	2	0	1
2.06211	17.1222	-36.9132	0	0	2	0	2
3.24033	-7.27785	30.1881	0	0	2	0	3
1.39052	7.90451	2.60159	0	0	2	0	4
